conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,topic,normalization,tokenisasi,lemma_content
1967588332449259870,Mon Sep 15 13:56:29 +0000 2025,0,PM Keutamaan kerajaan bantu mangsa banjir tanah runtuh di Sabah,1967588332449259870,,,in,,0,0,0,https://x.com/undefined/status/1967588332449259870,275057058,,banjir_bali,PM Keutamaan kerajaan bantu mangsa banjir tanah runtuh di Sabah,"['PM', 'Keutamaan', 'kerajaan', 'bantu', 'mangsa', 'banjir', 'tanah', 'runtuh', 'di', 'Sabah']",pm utama raja bantu mangsa banjir tanah runtuh di sabah
1967588242896871839,Mon Sep 15 13:56:07 +0000 2025,0,Padahal Bali lagi banjir tapi tetap di lanjutin study tour yaa,1967588242896871839,,,in,,0,0,0,https://x.com/undefined/status/1967588242896871839,1603608826820714502,,banjir_bali,Padahal Bali lagi banjir tapi tetap di melanjutkan study tour ya,"['Padahal', 'Bali', 'lagi', 'banjir', 'tapi', 'tetap', 'di', 'melanjutkan', 'study', 'tour', 'ya']",padahal bali lagi banjir tetapi tetap di lanjut study tour ya
1967588150458700124,Mon Sep 15 13:55:45 +0000 2025,0,jujur drtd aku mikir apakah maung akan live ternyata bener kan banjir,1967588150458700124,,,in,,0,0,0,https://x.com/undefined/status/1967588150458700124,1890466355868270592,,banjir_bali,jujur dari tadi aku memikirkan apakah maung akan live ternyata benar akan banjir,"['jujur', 'dari', 'tadi', 'aku', 'memikirkan', 'apakah', 'maung', 'akan', 'live', 'ternyata', 'benar', 'akan', 'banjir']",jujur dari tadi aku pikir apa kah maung akan live ternyata benar akan banjir
1967588147547828615,Mon Sep 15 13:55:45 +0000 2025,2,Kementerian P Sigap Tangani Bencana Banjir di Kota dan Kabupaten Sorong Provinsi Papua Barat Kementerian Pekerjaan mum P bergerak cepat melakukan langkah tanggap darurat terhadap bencana banjir yang melanda KotaKabupaten Sorong Provinsi Papua Barat yg disebabkan oleh curah,1967588147547828615,https://pbs.twimg.com/media/G05Gq3lbIAAjKio.jpg,,in,,0,0,0,https://x.com/undefined/status/1967588147547828615,179835283,,banjir_bali,Kementerian P Sigap Tangani Bencana Banjir di Kota dan Kabupaten Sorong Provinsi Papua Barat Kementerian Pekerjaan mum P bergerak cepat melakukan langkah tanggap darurat terhadap bencana banjir yang melanda KotaKabupaten Sorong Provinsi Papua Barat yang disebabkan oleh curah,"['Kementerian', 'P', 'Sigap', 'Tangani', 'Bencana', 'Banjir', 'di', 'Kota', 'dan', 'Kabupaten', 'Sorong', 'Provinsi', 'Papua', 'Barat', 'Kementerian', 'Pekerjaan', 'mum', 'P', 'bergerak', 'cepat', 'melakukan', 'langkah', 'tanggap', 'darurat', 'terhadap', 'bencana', 'banjir', 'yang', 'melanda', 'KotaKabupaten', 'Sorong', 'Provinsi', 'Papua', 'Barat', 'yang', 'disebabkan', 'oleh', 'curah']",kementerian p sigap tangani bencana banjir di kota dan kabupaten sorong provinsi papua barat kementerian pekerjaan mum p gerak cepat laku langkah tanggap darurat terhadap bencana banjir yang landa kotakabupaten sorong provinsi papua barat yang sebab oleh curah
1967588123233415516,Mon Sep 15 13:55:39 +0000 2025,0,Pantai timur Sabah bergelap pantai barat Sabah tanah runtuh amp banjir lepastu dah ada kemalangan jiwa berlaku Jaga diri semua,1967588123233415516,,,in,,0,0,0,https://x.com/undefined/status/1967588123233415516,1453219083604873223,,banjir_bali,Pantai timur Sabah bergelap pantai barat Sabah tanah runtuh amp banjir lepastu sudah ada kemalangan jiwa berlaku Jaga diri semua,"['Pantai', 'timur', 'Sabah', 'bergelap', 'pantai', 'barat', 'Sabah', 'tanah', 'runtuh', 'amp', 'banjir', 'lepastu', 'sudah', 'ada', 'kemalangan', 'jiwa', 'berlaku', 'Jaga', 'diri', 'semua']",pantai timur sabah gelap pantai barat sabah tanah runtuh amp banjir lepastu sudah ada malang jiwa laku jaga diri semua
1967587449879859243,Mon Sep 15 13:52:58 +0000 2025,0,Personel Polri mengevakuasi dan memberikan pertolongan kepada korban terdampak bencana alam banjir dan longsor di wilayah Bali,1967587449879859243,https://pbs.twimg.com/media/G05GWQGaQAA6SWv.jpg,,in,,0,0,0,https://x.com/undefined/status/1967587449879859243,1074681861819912192,,banjir_bali,Personel Polri mengevakuasi dan memberikan pertolongan kepada korban terdampak bencana alam banjir dan longsor di wilayah Bali,"['Personel', 'Polri', 'mengevakuasi', 'dan', 'memberikan', 'pertolongan', 'kepada', 'korban', 'terdampak', 'bencana', 'alam', 'banjir', 'dan', 'longsor', 'di', 'wilayah', 'Bali']",personel polri kevakuasi dan beri tolong kepada korban terdampak bencana alam banjir dan longsor di wilayah bali
1967587188067229724,Mon Sep 15 13:51:56 +0000 2025,1,Waspada Potensi Banjir dan Tanah Longsor Pada Saat Curah Hujan Tinggi,1967587188067229724,,,in,,0,0,0,https://x.com/undefined/status/1967587188067229724,1245952894907461632,,banjir_bali,Waspada Potensi Banjir dan Tanah Longsor Pada Saat Curah Hujan Tinggi,"['Waspada', 'Potensi', 'Banjir', 'dan', 'Tanah', 'Longsor', 'Pada', 'Saat', 'Curah', 'Hujan', 'Tinggi']",waspada potensi banjir dan tanah longsor pada saat curah hujan tinggi
1967587072082075684,Mon Sep 15 13:51:28 +0000 2025,0,ps lg kacaw bgt si sampah dimana mana ada perbaikan jalan di jalan utama jd macetnya luar biasa ujan bentar lgsg banjir,1967587072082075684,,,in,,0,0,0,https://x.com/undefined/status/1967587072082075684,1262732326108139520,,banjir_bali,pas lagi kacaw banget sih sampah dimana mana ada perbaikan jalan di jalan utama jadi macetnya luar biasa ujan sebentar langsung banjir,"['pas', 'lagi', 'kacaw', 'banget', 'sih', 'sampah', 'dimana', 'mana', 'ada', 'perbaikan', 'jalan', 'di', 'jalan', 'utama', 'jadi', 'macetnya', 'luar', 'biasa', 'ujan', 'sebentar', 'langsung', 'banjir']",pas lagi kacaw banget sih sampah dimana mana ada baik jalan di jalan utama jadi macet dia luar biasa ujan sebentar langsung banjir
1967586858466156902,Mon Sep 15 13:50:37 +0000 2025,0,Hajiji turun padang tinjau keadaan mangsa banjir tanah runtuh di PPS Strim live di atau di aplikasi MYTV ManaMana nifi TV dan Astro GO sekarang,1967586858466156902,,,in,,0,0,0,https://x.com/undefined/status/1967586858466156902,2821017554,,banjir_bali,Hajiji turun padang tinjau keadaan mangsa banjir tanah runtuh di PPS Strim live di atau di aplikasi MYTV ManaMana nifi TV dan Astro GO sekarang,"['Hajiji', 'turun', 'padang', 'tinjau', 'keadaan', 'mangsa', 'banjir', 'tanah', 'runtuh', 'di', 'PPS', 'Strim', 'live', 'di', 'atau', 'di', 'aplikasi', 'MYTV', 'ManaMana', 'nifi', 'TV', 'dan', 'Astro', 'GO', 'sekarang']",hajiji turun padang tinjau ada mangsa banjir tanah runtuh di pps strim live di atau di aplikasi mytv manamana nifi tv dan astro go sekarang
1967417512871809394,Mon Sep 15 13:49:30 +0000 2025,0,Bagi mereka banjir cuma di pasar Badung aja kocam,1967586575447204030,,TimpalBali,in,,0,0,0,https://x.com/undefined/status/1967586575447204030,914704507711373312,,banjir_bali,Bagi mereka banjir cuma di pasar Badung saja kocam,"['Bagi', 'mereka', 'banjir', 'cuma', 'di', 'pasar', 'Badung', 'saja', 'kocam']",bagi mereka banjir cuma di pasar badung saja kocam
